agentCount,defectorRatio,temptation,density,avgCompliance,defectorPercolationProb,geometricPercolationProb,avgLargestClusterFrac
10,0.10,1.10,0.1000,0.8850,0.0000,0.0000,0.0800
10,0.10,1.30,0.1000,0.8800,0.0000,0.0000,0.0750
10,0.10,1.50,0.1000,0.8650,0.0000,0.0000,0.0900
10,0.10,1.70,0.1000,0.9100,0.0000,0.0000,0.0650
10,0.10,2.00,0.1000,0.9150,0.0000,0.0000,0.0600
10,0.20,1.10,0.1000,0.9050,0.0000,0.0000,0.0800
10,0.20,1.30,0.1000,0.8050,0.0000,0.0000,0.1000
10,0.20,1.50,0.1000,0.7900,0.0000,0.0000,0.1050
10,0.20,1.70,0.1000,0.8150,0.0000,0.0000,0.0950
10,0.20,2.00,0.1000,0.8000,0.0000,0.0000,0.1000
10,0.30,1.10,0.1000,0.6550,0.0000,0.0000,0.1600
10,0.30,1.30,0.1000,0.7150,0.0000,0.0000,0.1250
10,0.30,1.50,0.1000,0.7150,0.0000,0.0000,0.1350
10,0.30,1.70,0.1000,0.6900,0.0000,0.0000,0.1250
10,0.30,2.00,0.1000,0.6450,0.0000,0.0000,0.1550
10,0.40,1.10,0.1000,0.6500,0.0000,0.0000,0.1550
10,0.40,1.30,0.1000,0.5500,0.0000,0.0000,0.1900
10,0.40,1.50,0.1000,0.6050,0.0000,0.0000,0.1550
10,0.40,1.70,0.1000,0.5450,0.0000,0.0000,0.1700
10,0.40,2.00,0.1000,0.6150,0.0000,0.0000,0.1650
10,0.50,1.10,0.1000,0.4650,0.0000,0.0000,0.2100
10,0.50,1.30,0.1000,0.4950,0.0000,0.0000,0.2000
10,0.50,1.50,0.1000,0.5200,0.0000,0.0000,0.1700
10,0.50,1.70,0.1000,0.5000,0.0000,0.0000,0.1900
10,0.50,2.00,0.1000,0.5050,0.0000,0.0000,0.1900
10,0.60,1.10,0.1000,0.3800,0.0000,0.0000,0.2000
10,0.60,1.30,0.1000,0.3800,0.0000,0.0000,0.2150
10,0.60,1.50,0.1000,0.3750,0.0000,0.0000,0.2550
10,0.60,1.70,0.1000,0.4400,0.0000,0.0000,0.2050
10,0.60,2.00,0.1000,0.3350,0.0000,0.0000,0.2500
10,0.70,1.10,0.1000,0.2800,0.0000,0.0000,0.2650
10,0.70,1.30,0.1000,0.3150,0.0000,0.0000,0.2700
10,0.70,1.50,0.1000,0.3150,0.0000,0.0000,0.2650
10,0.70,1.70,0.1000,0.2900,0.0000,0.0000,0.2400
10,0.70,2.00,0.1000,0.3100,0.0000,0.0000,0.2200
10,0.80,1.10,0.1000,0.2450,0.0000,0.0000,0.2550
10,0.80,1.30,0.1000,0.2000,0.0000,0.0000,0.2850
10,0.80,1.50,0.1000,0.1950,0.0000,0.0000,0.2800
10,0.80,1.70,0.1000,0.2350,0.0000,0.0000,0.2400
10,0.80,2.00,0.1000,0.2050,0.0000,0.0000,0.3150
10,0.90,1.10,0.1000,0.1200,0.0000,0.0000,0.3450
10,0.90,1.30,0.1000,0.1250,0.0000,0.0000,0.3050
10,0.90,1.50,0.1000,0.1000,0.0000,0.0000,0.3350
10,0.90,1.70,0.1000,0.0900,0.0000,0.0000,0.2950
10,0.90,2.00,0.1000,0.1000,0.0000,0.0000,0.3000
20,0.10,1.10,0.2000,0.8950,0.0000,0.0000,0.0400
